RegionCode,WeatherParam,Year,Key,Value
UK,MIN_TEMP,1910,FEB,0.9
UK,MIN_TEMP,1910,MAR,1.5
UK,MIN_TEMP,1910,APR,2.2
UK,MIN_TEMP,1910,MAY,5.6
UK,MIN_TEMP,1910,JUN,8.8
UK,MIN_TEMP,1910,JUL,9.3
UK,MIN_TEMP,1910,AUG,10.4
UK,MIN_TEMP,1910,SEP,7.7
UK,MIN_TEMP,1910,OCT,6.7
UK,MIN_TEMP,1910,NOV,-0.3
UK,MIN_TEMP,1910,DEC,3.1
UK,MIN_TEMP,1910,WIN,N/A-
UK,MIN_TEMP,1910,SPR,3.12
UK,MIN_TEMP,1910,SUM,9.48
UK,MIN_TEMP,1910,AUT,4.73
UK,MIN_TEMP,1910,ANN,4.65
UK,MIN_TEMP,1911,JAN,0.9
UK,MIN_TEMP,1911,FEB,0.9
UK,MIN_TEMP,1911,MAR,1.2
UK,MIN_TEMP,1911,APR,2.8
UK,MIN_TEMP,1911,MAY,6.6
UK,MIN_TEMP,1911,JUN,8.4
UK,MIN_TEMP,1911,JUL,10.7
UK,MIN_TEMP,1911,AUG,11.6
UK,MIN_TEMP,1911,SEP,7.8
UK,MIN_TEMP,1911,OCT,4.8
UK,MIN_TEMP,1911,NOV,2.2
UK,MIN_TEMP,1911,DEC,2.6
UK,MIN_TEMP,1911,WIN,1.63
UK,MIN_TEMP,1911,SPR,3.54
UK,MIN_TEMP,1911,SUM,10.27
UK,MIN_TEMP,1911,AUT,4.96
UK,MIN_TEMP,1911,ANN,5.08
UK,MIN_TEMP,1912,JAN,0.3
UK,MIN_TEMP,1912,FEB,1.2
UK,MIN_TEMP,1912,MAR,3.0
UK,MIN_TEMP,1912,APR,3.0
UK,MIN_TEMP,1912,MAY,6.1
UK,MIN_TEMP,1912,JUN,8.6
UK,MIN_TEMP,1912,JUL,10.5
UK,MIN_TEMP,1912,AUG,8.2
UK,MIN_TEMP,1912,SEP,6.5
UK,MIN_TEMP,1912,OCT,3.5
UK,MIN_TEMP,1912,NOV,2.7
UK,MIN_TEMP,1912,DEC,2.4
UK,MIN_TEMP,1912,WIN,1.39
UK,MIN_TEMP,1912,SPR,4.04
UK,MIN_TEMP,1912,SUM,9.09
UK,MIN_TEMP,1912,AUT,4.24
UK,MIN_TEMP,1912,ANN,4.69
UK,MIN_TEMP,1913,JAN,1.0
UK,MIN_TEMP,1913,FEB,0.9
UK,MIN_TEMP,1913,MAR,1.4
UK,MIN_TEMP,1913,APR,3.0
UK,MIN_TEMP,1913,MAY,5.8
UK,MIN_TEMP,1913,JUN,8.3
UK,MIN_TEMP,1913,JUL,9.5
UK,MIN_TEMP,1913,AUG,9.4
UK,MIN_TEMP,1913,SEP,8.8
UK,MIN_TEMP,1913,OCT,6.6
UK,MIN_TEMP,1913,NOV,4.1
UK,MIN_TEMP,1913,DEC,1.7
UK,MIN_TEMP,1913,WIN,1.47
UK,MIN_TEMP,1913,SPR,3.40
UK,MIN_TEMP,1913,SUM,9.05
UK,MIN_TEMP,1913,AUT,6.52
UK,MIN_TEMP,1913,ANN,5.06
UK,MIN_TEMP,1914,JAN,0.3
UK,MIN_TEMP,1914,FEB,2.4
UK,MIN_TEMP,1914,MAR,1.5
UK,MIN_TEMP,1914,APR,3.7
UK,MIN_TEMP,1914,MAY,5.1
UK,MIN_TEMP,1914,JUN,8.3
UK,MIN_TEMP,1914,JUL,10.4
UK,MIN_TEMP,1914,AUG,10.3
UK,MIN_TEMP,1914,SEP,7.6
UK,MIN_TEMP,1914,OCT,5.9
UK,MIN_TEMP,1914,NOV,2.7
UK,MIN_TEMP,1914,DEC,0.7
UK,MIN_TEMP,1914,WIN,1.42
UK,MIN_TEMP,1914,SPR,3.40
UK,MIN_TEMP,1914,SUM,9.67
UK,MIN_TEMP,1914,AUT,5.42
UK,MIN_TEMP,1914,ANN,4.91
UK,MIN_TEMP,1915,JAN,0.6
UK,MIN_TEMP,1915,FEB,0.1
UK,MIN_TEMP,1915,MAR,0.7
UK,MIN_TEMP,1915,APR,2.6
UK,MIN_TEMP,1915,MAY,4.4
UK,MIN_TEMP,1915,JUN,7.6
UK,MIN_TEMP,1915,JUL,9.3
UK,MIN_TEMP,1915,AUG,10.1
UK,MIN_TEMP,1915,SEP,7.9
UK,MIN_TEMP,1915,OCT,4.7
UK,MIN_TEMP,1915,NOV,-0.7
UK,MIN_TEMP,1915,DEC,1.2
UK,MIN_TEMP,1915,WIN,0.50
UK,MIN_TEMP,1915,SPR,2.55
UK,MIN_TEMP,1915,SUM,9.03
UK,MIN_TEMP,1915,AUT,3.97
UK,MIN_TEMP,1915,ANN,4.07
UK,MIN_TEMP,1916,JAN,3.6
UK,MIN_TEMP,1916,FEB,0.0
UK,MIN_TEMP,1916,MAR,-0.2
UK,MIN_TEMP,1916,APR,2.8
UK,MIN_TEMP,1916,MAY,5.6
UK,MIN_TEMP,1916,JUN,6.7
UK,MIN_TEMP,1916,JUL,9.8
UK,MIN_TEMP,1916,AUG,10.6
UK,MIN_TEMP,1916,SEP,8.2
UK,MIN_TEMP,1916,OCT,6.1
UK,MIN_TEMP,1916,NOV,3.3
UK,MIN_TEMP,1916,DEC,-0.7
UK,MIN_TEMP,1916,WIN,1.64
UK,MIN_TEMP,1916,SPR,2.69
UK,MIN_TEMP,1916,SUM,9.05
UK,MIN_TEMP,1916,AUT,5.89
UK,MIN_TEMP,1916,ANN,4.66
UK,MIN_TEMP,1917,JAN,-0.7
UK,MIN_TEMP,1917,FEB,-2.0
UK,MIN_TEMP,1917,MAR,-0.9
UK,MIN_TEMP,1917,APR,0.3
UK,MIN_TEMP,1917,MAY,6.0
UK,MIN_TEMP,1917,JUN,8.5
UK,MIN_TEMP,1917,JUL,10.0
UK,MIN_TEMP,1917,AUG,11.0
UK,MIN_TEMP,1917,SEP,8.9
UK,MIN_TEMP,1917,OCT,2.9
UK,MIN_TEMP,1917,NOV,4.2
UK,MIN_TEMP,1917,DEC,-0.8
UK,MIN_TEMP,1917,WIN,-1.08
UK,MIN_TEMP,1917,SPR,1.83
UK,MIN_TEMP,1917,SUM,9.83
UK,MIN_TEMP,1917,AUT,5.33
UK,MIN_TEMP,1917,ANN,3.99
UK,MIN_TEMP,1918,JAN,-0.2
UK,MIN_TEMP,1918,FEB,2.9
UK,MIN_TEMP,1918,MAR,1.2
UK,MIN_TEMP,1918,APR,2.0
UK,MIN_TEMP,1918,MAY,6.6
UK,MIN_TEMP,1918,JUN,7.1
UK,MIN_TEMP,1918,JUL,9.6
UK,MIN_TEMP,1918,AUG,10.7
UK,MIN_TEMP,1918,SEP,6.8
UK,MIN_TEMP,1918,OCT,5.1
UK,MIN_TEMP,1918,NOV,1.6
UK,MIN_TEMP,1918,DEC,3.0
UK,MIN_TEMP,1918,WIN,0.56
UK,MIN_TEMP,1918,SPR,3.27
UK,MIN_TEMP,1918,SUM,9.16
UK,MIN_TEMP,1918,AUT,4.52
UK,MIN_TEMP,1918,ANN,4.72
UK,MIN_TEMP,1919,JAN,-0.1
UK,MIN_TEMP,1919,FEB,-1.6
UK,MIN_TEMP,1919,MAR,-0.7
UK,MIN_TEMP,1919,APR,2.3
UK,MIN_TEMP,1919,MAY,6.6
UK,MIN_TEMP,1919,JUN,8.0
UK,MIN_TEMP,1919,JUL,8.6
UK,MIN_TEMP,1919,AUG,9.9
UK,MIN_TEMP,1919,SEP,7.3
UK,MIN_TEMP,1919,OCT,3.3
UK,MIN_TEMP,1919,NOV,-0.5
UK,MIN_TEMP,1919,DEC,1.5
UK,MIN_TEMP,1919,WIN,0.52
UK,MIN_TEMP,1919,SPR,2.72
UK,MIN_TEMP,1919,SUM,8.85
UK,MIN_TEMP,1919,AUT,3.40
UK,MIN_TEMP,1919,ANN,3.76
UK,MIN_TEMP,1920,JAN,0.9
UK,MIN_TEMP,1920,FEB,1.8
UK,MIN_TEMP,1920,MAR,2.2
UK,MIN_TEMP,1920,APR,3.6
UK,MIN_TEMP,1920,MAY,6.1
UK,MIN_TEMP,1920,JUN,8.4
UK,MIN_TEMP,1920,JUL,9.3
UK,MIN_TEMP,1920,AUG,8.6
UK,MIN_TEMP,1920,SEP,7.8
UK,MIN_TEMP,1920,OCT,6.1
UK,MIN_TEMP,1920,NOV,3.4
UK,MIN_TEMP,1920,DEC,0.8
UK,MIN_TEMP,1920,WIN,1.40
UK,MIN_TEMP,1920,SPR,3.98
UK,MIN_TEMP,1920,SUM,8.78
UK,MIN_TEMP,1920,AUT,5.76
UK,MIN_TEMP,1920,ANN,4.93
UK,MIN_TEMP,1921,JAN,3.1
UK,MIN_TEMP,1921,FEB,1.2
UK,MIN_TEMP,1921,MAR,2.3
UK,MIN_TEMP,1921,APR,2.5
UK,MIN_TEMP,1921,MAY,5.2
UK,MIN_TEMP,1921,JUN,7.9
UK,MIN_TEMP,1921,JUL,11.0
UK,MIN_TEMP,1921,AUG,9.9
UK,MIN_TEMP,1921,SEP,8.4
UK,MIN_TEMP,1921,OCT,7.6
UK,MIN_TEMP,1921,NOV,1.5
UK,MIN_TEMP,1921,DEC,2.9
UK,MIN_TEMP,1921,WIN,1.75
UK,MIN_TEMP,1921,SPR,3.35
UK,MIN_TEMP,1921,SUM,9.61
UK,MIN_TEMP,1921,AUT,5.86
UK,MIN_TEMP,1921,ANN,5.33
UK,MIN_TEMP,1922,JAN,0.4
UK,MIN_TEMP,1922,FEB,0.7
UK,MIN_TEMP,1922,MAR,0.9
UK,MIN_TEMP,1922,APR,0.4
UK,MIN_TEMP,1922,MAY,6.1
UK,MIN_TEMP,1922,JUN,7.7
UK,MIN_TEMP,1922,JUL,8.5
UK,MIN_TEMP,1922,AUG,8.5
UK,MIN_TEMP,1922,SEP,7.2
UK,MIN_TEMP,1922,OCT,4.1
UK,MIN_TEMP,1922,NOV,2.2
UK,MIN_TEMP,1922,DEC,2.5
UK,MIN_TEMP,1922,WIN,1.35
UK,MIN_TEMP,1922,SPR,2.47
UK,MIN_TEMP,1922,SUM,8.24
UK,MIN_TEMP,1922,AUT,4.49
UK,MIN_TEMP,1922,ANN,4.12
UK,MIN_TEMP,1923,JAN,2.2
UK,MIN_TEMP,1923,FEB,2.2
UK,MIN_TEMP,1923,MAR,2.2
UK,MIN_TEMP,1923,APR,2.7
UK,MIN_TEMP,1923,MAY,4.1
UK,MIN_TEMP,1923,JUN,7.4
UK,MIN_TEMP,1923,JUL,11.6
UK,MIN_TEMP,1923,AUG,9.6
UK,MIN_TEMP,1923,SEP,7.1
UK,MIN_TEMP,1923,OCT,5.6
UK,MIN_TEMP,1923,NOV,-0.2
UK,MIN_TEMP,1923,DEC,0.4
UK,MIN_TEMP,1923,WIN,2.32
UK,MIN_TEMP,1923,SPR,3.02
UK,MIN_TEMP,1923,SUM,9.55
UK,MIN_TEMP,1923,AUT,4.18
UK,MIN_TEMP,1923,ANN,4.60
UK,MIN_TEMP,1924,JAN,1.4
UK,MIN_TEMP,1924,FEB,0.4
UK,MIN_TEMP,1924,MAR,-0.9
UK,MIN_TEMP,1924,APR,1.9
UK,MIN_TEMP,1924,MAY,5.9
UK,MIN_TEMP,1924,JUN,8.4
UK,MIN_TEMP,1924,JUL,9.8
UK,MIN_TEMP,1924,AUG,9.4
UK,MIN_TEMP,1924,SEP,8.5
UK,MIN_TEMP,1924,OCT,5.9
UK,MIN_TEMP,1924,NOV,3.8
UK,MIN_TEMP,1924,DEC,3.7
UK,MIN_TEMP,1924,WIN,0.72
UK,MIN_TEMP,1924,SPR,2.32
UK,MIN_TEMP,1924,SUM,9.22
UK,MIN_TEMP,1924,AUT,6.09
UK,MIN_TEMP,1924,ANN,4.88
UK,MIN_TEMP,1925,JAN,2.0
UK,MIN_TEMP,1925,FEB,1.1
UK,MIN_TEMP,1925,MAR,1.0
UK,MIN_TEMP,1925,APR,2.3
UK,MIN_TEMP,1925,MAY,6.3
UK,MIN_TEMP,1925,JUN,8.4
UK,MIN_TEMP,1925,JUL,10.9
UK,MIN_TEMP,1925,AUG,10.3
UK,MIN_TEMP,1925,SEP,6.7
UK,MIN_TEMP,1925,OCT,6.0
UK,MIN_TEMP,1925,NOV,0.4
UK,MIN_TEMP,1925,DEC,-0.6
UK,MIN_TEMP,1925,WIN,2.34
UK,MIN_TEMP,1925,SPR,3.23
UK,MIN_TEMP,1925,SUM,9.89
UK,MIN_TEMP,1925,AUT,4.41
UK,MIN_TEMP,1925,ANN,4.61
UK,MIN_TEMP,1926,JAN,1.3
UK,MIN_TEMP,1926,FEB,2.9
UK,MIN_TEMP,1926,MAR,2.2
UK,MIN_TEMP,1926,APR,4.1
UK,MIN_TEMP,1926,MAY,4.8
UK,MIN_TEMP,1926,JUN,8.0
UK,MIN_TEMP,1926,JUL,11.1
UK,MIN_TEMP,1926,AUG,10.6
UK,MIN_TEMP,1926,SEP,9.1
UK,MIN_TEMP,1926,OCT,3.4
UK,MIN_TEMP,1926,NOV,2.1
UK,MIN_TEMP,1926,DEC,1.3
UK,MIN_TEMP,1926,WIN,1.15
UK,MIN_TEMP,1926,SPR,3.70
UK,MIN_TEMP,1926,SUM,9.93
UK,MIN_TEMP,1926,AUT,4.86
UK,MIN_TEMP,1926,ANN,5.09
UK,MIN_TEMP,1927,JAN,1.2
UK,MIN_TEMP,1927,FEB,0.7
UK,MIN_TEMP,1927,MAR,2.8
UK,MIN_TEMP,1927,APR,2.9
UK,MIN_TEMP,1927,MAY,4.9
UK,MIN_TEMP,1927,JUN,6.7
UK,MIN_TEMP,1927,JUL,10.8
UK,MIN_TEMP,1927,AUG,10.5
UK,MIN_TEMP,1927,SEP,7.8
UK,MIN_TEMP,1927,OCT,5.7
UK,MIN_TEMP,1927,NOV,2.6
UK,MIN_TEMP,1927,DEC,-0.5
UK,MIN_TEMP,1927,WIN,1.07
UK,MIN_TEMP,1927,SPR,3.54
UK,MIN_TEMP,1927,SUM,9.36
UK,MIN_TEMP,1927,AUT,5.37
UK,MIN_TEMP,1927,ANN,4.70
UK,MIN_TEMP,1928,JAN,1.2
UK,MIN_TEMP,1928,FEB,1.7
UK,MIN_TEMP,1928,MAR,1.9
UK,MIN_TEMP,1928,APR,3.2
UK,MIN_TEMP,1928,MAY,5.2
UK,MIN_TEMP,1928,JUN,7.1
UK,MIN_TEMP,1928,JUL,10.0
UK,MIN_TEMP,1928,AUG,9.9
UK,MIN_TEMP,1928,SEP,6.9
UK,MIN_TEMP,1928,OCT,5.7
UK,MIN_TEMP,1928,NOV,3.8
UK,MIN_TEMP,1928,DEC,0.3
UK,MIN_TEMP,1928,WIN,0.78
UK,MIN_TEMP,1928,SPR,3.43
UK,MIN_TEMP,1928,SUM,9.03
UK,MIN_TEMP,1928,AUT,5.46
UK,MIN_TEMP,1928,ANN,4.75
UK,MIN_TEMP,1929,JAN,-1.4
UK,MIN_TEMP,1929,FEB,-2.3
UK,MIN_TEMP,1929,MAR,0.3
UK,MIN_TEMP,1929,APR,1.5
UK,MIN_TEMP,1929,MAY,5.2
UK,MIN_TEMP,1929,JUN,7.4
UK,MIN_TEMP,1929,JUL,9.8
UK,MIN_TEMP,1929,AUG,9.8
UK,MIN_TEMP,1929,SEP,9.3
UK,MIN_TEMP,1929,OCT,5.0
UK,MIN_TEMP,1929,NOV,2.7
UK,MIN_TEMP,1929,DEC,2.2
UK,MIN_TEMP,1929,WIN,-1.06
UK,MIN_TEMP,1929,SPR,2.35
UK,MIN_TEMP,1929,SUM,9.03
UK,MIN_TEMP,1929,AUT,5.68
UK,MIN_TEMP,1929,ANN,4.18
UK,MIN_TEMP,1930,JAN,1.6
UK,MIN_TEMP,1930,FEB,-0.9
UK,MIN_TEMP,1930,MAR,0.6
UK,MIN_TEMP,1930,APR,3.8
UK,MIN_TEMP,1930,MAY,5.3
UK,MIN_TEMP,1930,JUN,8.8
UK,MIN_TEMP,1930,JUL,10.3
UK,MIN_TEMP,1930,AUG,10.5
UK,MIN_TEMP,1930,SEP,9.0
UK,MIN_TEMP,1930,OCT,6.2
UK,MIN_TEMP,1930,NOV,2.0
UK,MIN_TEMP,1930,DEC,1.3
UK,MIN_TEMP,1930,WIN,1.02
UK,MIN_TEMP,1930,SPR,3.22
UK,MIN_TEMP,1930,SUM,9.87
UK,MIN_TEMP,1930,AUT,5.73
UK,MIN_TEMP,1930,ANN,4.91
UK,MIN_TEMP,1931,JAN,0.0
UK,MIN_TEMP,1931,FEB,0.3
UK,MIN_TEMP,1931,MAR,-0.6
UK,MIN_TEMP,1931,APR,3.1
UK,MIN_TEMP,1931,MAY,5.9
UK,MIN_TEMP,1931,JUN,8.7
UK,MIN_TEMP,1931,JUL,10.5
UK,MIN_TEMP,1931,AUG,9.3
UK,MIN_TEMP,1931,SEP,7.1
UK,MIN_TEMP,1931,OCT,4.4
UK,MIN_TEMP,1931,NOV,4.2
UK,MIN_TEMP,1931,DEC,2.6
UK,MIN_TEMP,1931,WIN,0.52
UK,MIN_TEMP,1931,SPR,2.79
UK,MIN_TEMP,1931,SUM,9.51
UK,MIN_TEMP,1931,AUT,5.20
UK,MIN_TEMP,1931,ANN,4.63
UK,MIN_TEMP,1932,JAN,2.6
UK,MIN_TEMP,1932,FEB,0.2
UK,MIN_TEMP,1932,MAR,0.4
UK,MIN_TEMP,1932,APR,1.9
UK,MIN_TEMP,1932,MAY,5.5
UK,MIN_TEMP,1932,JUN,8.0
UK,MIN_TEMP,1932,JUL,10.9
UK,MIN_TEMP,1932,AUG,11.3
UK,MIN_TEMP,1932,SEP,8.0
UK,MIN_TEMP,1932,OCT,4.4
UK,MIN_TEMP,1932,NOV,3.1
UK,MIN_TEMP,1932,DEC,2.4
UK,MIN_TEMP,1932,WIN,1.83
UK,MIN_TEMP,1932,SPR,2.61
UK,MIN_TEMP,1932,SUM,10.08
UK,MIN_TEMP,1932,AUT,5.16
UK,MIN_TEMP,1932,ANN,4.92
UK,MIN_TEMP,1933,JAN,-0.9
UK,MIN_TEMP,1933,FEB,0.3
UK,MIN_TEMP,1933,MAR,2.2
UK,MIN_TEMP,1933,APR,3.8
UK,MIN_TEMP,1933,MAY,6.3
UK,MIN_TEMP,1933,JUN,9.1
UK,MIN_TEMP,1933,JUL,11.8
UK,MIN_TEMP,1933,AUG,11.2
UK,MIN_TEMP,1933,SEP,9.1
UK,MIN_TEMP,1933,OCT,6.0
UK,MIN_TEMP,1933,NOV,2.4
UK,MIN_TEMP,1933,DEC,-0.4
UK,MIN_TEMP,1933,WIN,0.65
UK,MIN_TEMP,1933,SPR,4.11
UK,MIN_TEMP,1933,SUM,10.70
UK,MIN_TEMP,1933,AUT,5.85
UK,MIN_TEMP,1933,ANN,5.11
UK,MIN_TEMP,1934,JAN,1.1
UK,MIN_TEMP,1934,FEB,0.6
UK,MIN_TEMP,1934,MAR,0.4
UK,MIN_TEMP,1934,APR,2.8
UK,MIN_TEMP,1934,MAY,5.4
UK,MIN_TEMP,1934,JUN,8.7
UK,MIN_TEMP,1934,JUL,11.2
UK,MIN_TEMP,1934,AUG,9.7
UK,MIN_TEMP,1934,SEP,8.7
UK,MIN_TEMP,1934,OCT,6.0
UK,MIN_TEMP,1934,NOV,2.7
UK,MIN_TEMP,1934,DEC,4.8
UK,MIN_TEMP,1934,WIN,0.41
UK,MIN_TEMP,1934,SPR,2.86
UK,MIN_TEMP,1934,SUM,9.89
UK,MIN_TEMP,1934,AUT,5.79
UK,MIN_TEMP,1934,ANN,5.20
UK,MIN_TEMP,1935,JAN,1.6
UK,MIN_TEMP,1935,FEB,1.8
UK,MIN_TEMP,1935,MAR,2.2
UK,MIN_TEMP,1935,APR,3.1
UK,MIN_TEMP,1935,MAY,4.2
UK,MIN_TEMP,1935,JUN,9.2
UK,MIN_TEMP,1935,JUL,10.6
UK,MIN_TEMP,1935,AUG,10.4
UK,MIN_TEMP,1935,SEP,8.4
UK,MIN_TEMP,1935,OCT,5.1
UK,MIN_TEMP,1935,NOV,2.8
UK,MIN_TEMP,1935,DEC,-0.3
UK,MIN_TEMP,1935,WIN,2.78
UK,MIN_TEMP,1935,SPR,3.16
UK,MIN_TEMP,1935,SUM,10.07
UK,MIN_TEMP,1935,AUT,5.41
UK,MIN_TEMP,1935,ANN,4.93
UK,MIN_TEMP,1936,JAN,0.1
UK,MIN_TEMP,1936,FEB,-0.9
UK,MIN_TEMP,1936,MAR,2.8
UK,MIN_TEMP,1936,APR,1.5
UK,MIN_TEMP,1936,MAY,5.7
UK,MIN_TEMP,1936,JUN,8.6
UK,MIN_TEMP,1936,JUL,10.5
UK,MIN_TEMP,1936,AUG,10.6
UK,MIN_TEMP,1936,SEP,9.6
UK,MIN_TEMP,1936,OCT,4.9
UK,MIN_TEMP,1936,NOV,2.0
UK,MIN_TEMP,1936,DEC,1.7
UK,MIN_TEMP,1936,WIN,-0.36
UK,MIN_TEMP,1936,SPR,3.33
UK,MIN_TEMP,1936,SUM,9.90
UK,MIN_TEMP,1936,AUT,5.46
UK,MIN_TEMP,1936,ANN,4.76
